0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0001,0.0000
0.0002,0.0000
0.0004,0.0000
0.0007,0.0000
0.0013,0.0000
0.0024,0.0000
0.0039,0.0000
0.0063,0.0000
0.0096,0.0000
0.0141,0.0000
0.0198,0.0000
0.0268,0.0000
0.0348,0.0000
0.0435,0.0000
0.0523,0.0000
0.0605,0.0000
0.0674,0.0000
0.0724,0.0000
0.0751,0.0000
0.0751,0.0000
0.0725,0.0000
0.0675,0.0000
0.0608,0.0000
0.0529,0.0000
0.0445,0.0000
0.0362,0.0000
0.0284,0.0000
0.0216,0.0000
0.0159,0.0000
0.0114,0.0000
0.0078,0.0000
0.0052,0.0000
0.0034,0.0000
0.0021,0.0000
0.0013,0.0000
0.0008,0.0000
0.0004,0.0000
0.0002,0.0000
0.0001,0.0000
0.0001,0.0000
0.0000,0.0000
0.0000,0.0001
0.0000,0.0001
0.0000,0.0002
0.0000,0.0004
0.0000,0.0008
0.0000,0.0013
0.0000,0.0021
0.0000,0.0034
0.0000,0.0052
0.0000,0.0078
0.0000,0.0114
0.0000,0.0159
0.0000,0.0216
0.0000,0.0284
0.0000,0.0362
0.0000,0.0445
0.0000,0.0529
0.0000,0.0608
0.0000,0.0675
0.0000,0.0725
0.0000,0.0751
0.0000,0.0751
0.0000,0.0724
0.0000,0.0674
0.0000,0.0605
0.0000,0.0523
0.0000,0.0435
0.0000,0.0348
0.0000,0.0268
0.0000,0.0198
0.0000,0.0141
0.0000,0.0096
0.0000,0.0063
0.0000,0.0039
0.0000,0.0024
0.0000,0.0013
0.0000,0.0007
0.0000,0.0004
0.0000,0.0002
0.0000,0.0001
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
